Character,Color,Score, Time
3,Red,521,2020-10-27 14:53:41.098749
3,Red,516,2020-10-27 14:53:41.191255
3,Red,524,2020-10-27 14:53:41.290176
3,Red,522,2020-10-27 14:53:41.385426
3,Red,525,2020-10-27 14:53:41.444459
3,Red,525,2020-10-27 14:53:41.497776
3,Red,516,2020-10-27 14:53:41.544857
3,Red,522,2020-10-27 14:53:41.590700
3,Red,508,2020-10-27 14:53:41.641987
3,Red,508,2020-10-27 14:53:41.689065
3,Red,514,2020-10-27 14:53:41.740513
3,Red,514,2020-10-27 14:53:41.786881
3,Red,509,2020-10-27 14:53:41.843244
3,Red,509,2020-10-27 14:53:41.897101
3,Red,520,2020-10-27 14:53:41.950545
3,Red,522,2020-10-27 14:53:42.011834
3,Red,522,2020-10-27 14:53:42.073345
3,Red,518,2020-10-27 14:53:42.132217
3,Red,520,2020-10-27 14:53:42.199205
3,Red,518,2020-10-27 14:53:42.273022
3,Red,510,2020-10-27 14:53:42.334461
3,Red,522,2020-10-27 14:53:42.386727
3,Red,522,2020-10-27 14:53:42.439363
3,Red,522,2020-10-27 14:53:42.501593
3,Red,522,2020-10-27 14:53:42.566649
3,Red,525,2020-10-27 14:53:42.621672
3,Red,515,2020-10-27 14:53:42.680731
3,Red,525,2020-10-27 14:53:42.758018
3,Red,512,2020-10-27 14:53:42.838333
3,Red,530,2020-10-27 14:53:42.916491
3,Red,527,2020-10-27 14:53:42.994995
3,Red,528,2020-10-27 14:53:43.087153
3,Red,521,2020-10-27 14:53:43.163100
3,Red,519,2020-10-27 14:53:43.229269
3,Red,525,2020-10-27 14:53:43.307553
W,Red,517,2020-10-27 14:53:43.382556
3,Red,524,2020-10-27 14:53:43.456179
3,Red,520,2020-10-27 14:53:43.523723
3,Red,519,2020-10-27 14:53:43.589940
3,Red,521,2020-10-27 14:53:43.642184
3,Red,528,2020-10-27 14:53:43.693470
3,Red,526,2020-10-27 14:53:43.741078
3,Red,526,2020-10-27 14:53:43.790742
3,Red,520,2020-10-27 14:53:43.843974
3,Red,523,2020-10-27 14:53:43.898895
3,Red,514,2020-10-27 14:53:43.953967
3,Red,525,2020-10-27 14:53:44.008778
3,Red,525,2020-10-27 14:53:44.058702
3,Red,529,2020-10-27 14:53:44.113110
3,Red,529,2020-10-27 14:53:44.168349
3,Red,515,2020-10-27 14:53:44.216885
3,Red,513,2020-10-27 14:53:44.272110
3,Red,517,2020-10-27 14:53:44.325508
3,Red,521,2020-10-27 14:53:44.397451
3,Red,519,2020-10-27 14:53:44.456653
3,Red,524,2020-10-27 14:53:44.509092
3,Red,524,2020-10-27 14:53:44.561234
3,Red,524,2020-10-27 14:53:44.616605
3,Red,524,2020-10-27 14:53:44.659634
3,Red,517,2020-10-27 14:53:44.708051
3,Red,515,2020-10-27 14:53:44.761012
3,Red,523,2020-10-27 14:53:44.813304
3,Red,523,2020-10-27 14:53:44.897447
,Red,526,2020-10-27 14:53:45.083398
,Red,526,2020-10-27 14:53:45.162371
3,Red,520,2020-10-27 14:53:45.272210
3,Red,514,2020-10-27 14:53:45.400864
,Red,526,2020-10-27 14:53:45.516396
J,Red,524,2020-10-27 14:53:45.634733
3,Red,524,2020-10-27 14:53:45.714623
3,Red,512,2020-10-27 14:53:45.781648
3,Red,514,2020-10-27 14:53:45.867667
3,Red,526,2020-10-27 14:53:45.954105
3,Red,526,2020-10-27 14:53:46.022227
3,Red,524,2020-10-27 14:53:46.081873
3,Red,516,2020-10-27 14:53:46.139764
3,Red,511,2020-10-27 14:53:46.200314
3,Red,524,2020-10-27 14:53:46.255952
3,Red,514,2020-10-27 14:53:46.311370
3,Red,524,2020-10-27 14:53:46.375078
3,Red,524,2020-10-27 14:53:46.426383
3,Red,524,2020-10-27 14:53:46.477470
3,Red,518,2020-10-27 14:53:46.534485
3,Red,518,2020-10-27 14:53:46.579532
3,Red,526,2020-10-27 14:53:46.638415
3,Red,526,2020-10-27 14:53:46.697938
3,Red,526,2020-10-27 14:53:46.749738
3,Red,523,2020-10-27 14:53:46.798349
3,Red,526,2020-10-27 14:53:46.847027
3,Red,525,2020-10-27 14:53:46.894305
3,Red,527,2020-10-27 14:53:46.955054
3,Red,525,2020-10-27 14:53:47.007949
3,Red,521,2020-10-27 14:53:47.068946
3,Red,521,2020-10-27 14:53:47.127662
3,Red,521,2020-10-27 14:53:47.184766
G3,Red,521,2020-10-27 14:53:47.242883
3,Red,522,2020-10-27 14:53:47.297343
3,Red,522,2020-10-27 14:53:47.342913
